"card-featured__middle-section__header-badge","card-featured__middle-section__price","card-featured__middle-section__installment","attribute-text","attribute-text 2","attribute-info 2","attribute-info 4","card-featured__middle-section 3"
"Rumah","Rp 1,87 Miliar","Cicilan: 7 Jutaan per bulan","3","2","81 m²","108 m²","Merupakan salah satu proyek perumahan yang berada di kawasan Bandung Timur. Berada di kawasan Cinambo..."
"Gudang","Rp 48 Miliar Total","Cicilan: 184 Jutaan per bulan","","","3926 m²","2315 m²","Dijual Gudang di Jalan Rumah sakit Listrik 432 kva Hadap Timur SHM IMB akses kontainer 40"" contact:..."
"Rumah","Rp 1,95 Miliar","Cicilan: 7 Jutaan per bulan","6","4","145 m²","200 m²","STRATEGIS DIJUAL RUMAH (Bandung Timur) Ujung Berung, AH Nasution Cinambo Luas Tanah 145 m² Luas Bangunan..."
"Tanah","Rp 331 Juta Total","Cicilan: 1 Jutaan per bulan","","","107 m²","","Jual Tanah Bandung Timur Area Cilengkrang Spesifikasi Tanah: - Luas: 107 m2 - Harga: Rp.3.100.000,-/m2..."
"Rumah","Rp 835 Juta","Cicilan: 3 Jutaan per bulan","2","1","74 m²","43 m²","Spek : LT : 74 m LB : 43 m Lebar Muka : 6m Jumlah Lantai : 1 Sertifikat : SHM IMB : Ada KT : 2 KM..."
"Rumah","Rp 600 Juta","Cicilan: 2 Jutaan per bulan","2","1","65 m²","40 m²","FOR SALE Rumah pinus regency Luas tanah : 65m2 Luas bangunan : 40m2 kamar tidur : 2 Kamar mandi :..."
"Rumah","Rp 926 Juta","Cicilan: 3 Jutaan per bulan","2","1","81 m²","55 m²","Spesifikasi Luas Tanah : 81 Luas Bangunan : 55 KT : 2 KM : 1 Lebar Muka : - Lebar Jalan : 2 Mobil..."
"Rumah","Rp 925 Juta","Cicilan: 3 Jutaan per bulan","2","1","81 m²","55 m²","JUAL RUMAH MY HOME CINAMBO - CISARANTEN Luas Tanah 81m² Luas Bangunan 55 m² Lebar Muka 6 meter Bangunan..."
"Rumah","Rp 925 Juta","Cicilan: 3 Jutaan per bulan","2","1","81 m²","55 m²","Dijual Rumah Nyaman & Lokasi Aman.Cluster one gate Lokasi cinambo cisaranten SHM Luas tanah 81 m2..."
"Rumah","Rp 1,1 Miliar","Cicilan: 4 Jutaan per bulan","4","2","128 m²","100 m²","SPEK: SHM , IMB LT 128 LB 100 Lebar 7,5 meter Bangunan 2 lantai + rooftop Kt 4+1 Km 2+1 Hadap Barat..."
"Rumah","Rp 1,3 Miliar","Cicilan: 4 Jutaan per bulan","3","2","96 m²","170 m²","Jual rumah cooldesak tanpa pagar Luas tanah : 96 mtr Luas bangunan : 170mtr Lebar muka : 8 mtr Jumlah..."
"Tanah","Rp 14 Miliar Total","Cicilan: 53 Jutaan per bulan","","","4322 m²","","- Luas tanah 4.322 m² ; SHM - 2 sertifikat ; 192 m² dan 4.130 m² - lebar 26 m x panjang 139 m - akses..."
"Pabrik","Rp 48 Miliar Total","Cicilan: 184 Jutaan per bulan","6","20","3926 m²","2315 m²","KOMPLEKS PABRIK ex GARMENT Jalan Rumah Sakit cinambo Kota Bandung Luas Tanah 3.926 m² Luas Bangunan..."
"Gudang","Rp 48 Miliar Total","Cicilan: 184 Jutaan per bulan","","","3926 m²","5042 m²","Gudang Dijual Bandung Dijual Gudang Sangat Besar Di Area Premium, Strategis Di Bandung Timur. Mudah..."
"Rumah","Rp 1,1 Miliar","Cicilan: 4 Jutaan per bulan","3","1","122 m²","148 m²","Rumah hoek dekat mesjid. Halaman dua sisi. Hadap barat dan selatan...."
"Rumah","Rp 675 Juta","Cicilan: 2 Jutaan per bulan","2","1","72 m²","42 m²","Rumah Di Jual Cepat Siap Huni Di Pinus Regensi Rumah di jual kualitas bangunan bagus terbaik di kelasnya..."
"Rumah","Rp 481 Juta","Cicilan: 1 Jutaan per bulan","2","1","119 m²","37 m²","direct buyer eksklusif SAP For Sale Rumah Pinus Regency Garden Villas III/31 repost reposisi harga..."
"Tanah","Rp 2,5 Juta /m²","Cicilan: 1 Jutaan per bulan","","","156 m²","","Jual Tanah Murah Di Bandung Timur Areal Cileunyi Alamat: Cileunyi Kulon, Kec. Cileunyi, Kabupaten..."
"Tanah","Rp 405 Juta Total","Cicilan: 1 Jutaan per bulan","","","90 m²","","Spesifikasi Tanah Luas Tanah : 90 m2 Akses : 2 mobil Lebar Depan :8’7m Lebar Panjang : 10m Legalitas..."
"Rumah","Rp 890 Juta","Cicilan: 3 Jutaan per bulan","2","1","126 m²","70 m²","Bismillah Di jual rumah siap huni dalam Cluster di pinus regency Luas tanah 133 Luas bangunan 90..."
